cuenta_id,nombre,saldo,edad,tipo
147,Charlie Green,7000,25,prestamo
110,Bob Johnson,7000,35,hipoteca
143,Charlie Green,10000,35,-1
137,Bob Johnson,5000,40,-1
124,John Doe,7000,,hipoteca
140,Alice Brown,5000,35,prestamo
112,Steve Rogers,8000,30,prestamo
102,Alice Brown,8000,45,prestamo
131,Diana Prince,5000,45,hipoteca
104,Steve Rogers,10000,25,prestamo
128,Diana Prince,,35,hipoteca
133,Alice Brown,,,hipoteca
138,Alice Brown,8000,45,prestamo
121,Bob Johnson,8000,35,hipoteca
130,John Doe,5000,25,prestamo
143,Diana Prince,,35,unknown
116,Diana Prince,,30,hipoteca
136,Diana Prince,5000,40,prestamo
105,Unknown,10000,45,prestamo
107,Alice Brown,10000,,hipoteca
135,Steve Rogers,12000,25,ahorro
126,John Doe,5000,45,ahorro
101,Alice Brown,8000,25,hipoteca
111,John Doe,,,ahorro
121,Steve Rogers,12000,30,-1
138,Alice Brown,12000,30,ahorro
116,Bob Johnson,,45,-1
101,John Doe,8000,30,hipoteca
133,John Doe,,25,ahorro
129,Diana Prince,8000,45,ahorro
138,Jane Smith,12000,30,prestamo
127,Diana Prince,7000,40,-1
137,Jane Smith,10000,45,hipoteca
115,Jane Smith,12000,45,-1
123,John Doe,5000,25,ahorro
109,Diana Prince,,,hipoteca
122,Charlie Green,10000,45,hipoteca
135,John Doe,10000,,-1
102,Jane Smith,5000,40,prestamo
110,Steve Rogers,,,hipoteca
112,Jane Smith,10000,,ahorro
132,Bob Johnson,10000,100,-1
104,Jane Smith,8000,,-1
120,Steve Rogers,,30,prestamo
126,Alice Brown,8000,,prestamo
124,Steve Rogers,,45,-1
127,Charlie Green,5000,150,ahorro
132,Diana Prince,8000,45,hipoteca
131,Jane Smith,10000,40,-1
123,Alice Brown,12000,35,hipoteca
134,John Doe,8000,40,-1
114,Steve Rogers,,45,unknown
111,Bob Johnson,,,prestamo
139,Charlie Green,10000,40,ahorro
133,John Doe,10000,35,-1
147,Charlie Green,10000,150,hipoteca
145,Bob Johnson,12000,35,hipoteca
104,Diana Prince,,30,ahorro
115,Diana Prince,,,hipoteca
144,Bob Johnson,12000,35,-1
101,Charlie Green,12000,35,hipoteca
134,Charlie Green,12000,30,-1
121,Bob Johnson,7000,30,hipoteca
114,Steve Rogers,7000,100,ahorro
145,Diana Prince,12000,35,prestamo
147,Steve Rogers,8000,30,ahorro
117,Alice Brown,5000,25,-1
131,Charlie Green,10000,,-1
115,Bob Johnson,8000,45,hipoteca
109,Jane Smith,5000,100,hipoteca
126,Alice Brown,8000,30,-1
143,Bob Johnson,10000,30,ahorro
114,Diana Prince,,,prestamo
139,Steve Rogers,,,ahorro
149,Bob Johnson,12000,45,-1
119,Steve Rogers,5000,,hipoteca
104,Steve Rogers,,45,-1
128,John Doe,8000,150,prestamo
120,Steve Rogers,7000,30,ahorro
110,Steve Rogers,10000,25,hipoteca
116,John Doe,12000,,unknown
133,Steve Rogers,,150,ahorro
135,Bob Johnson,7000,40,-1
142,Jane Smith,8000,40,unknown
134,Bob Johnson,10000,30,hipoteca
118,Charlie Green,12000,150,prestamo
134,Alice Brown,,45,-1
120,Charlie Green,7000,150,prestamo
132,Alice Brown,12000,,ahorro
126,Alice Brown,5000,40,prestamo
143,Alice Brown,,35,prestamo
104,Steve Rogers,,40,-1
141,Jane Smith,,40,prestamo
106,Alice Brown,5000,45,-1
105,Steve Rogers,10000,35,prestamo
150,Bob Johnson,12000,100,ahorro
133,Steve Rogers,10000,45,prestamo
149,Charlie Green,12000,25,-1
112,Diana Prince,10000,,-1
142,Bob Johnson,,100,hipoteca
106,Unknown,8000,25,hipoteca
131,Steve Rogers,,30,-1
102,John Doe,12000,,-1
105,Alice Brown,8000,25,prestamo
137,Alice Brown,,25,-1
143,Unknown,7000,,ahorro
141,Jane Smith,8000,30,prestamo
140,Steve Rogers,5000,150,prestamo
124,Jane Smith,12000,45,-1
143,Alice Brown,8000,40,ahorro
110,Alice Brown,5000,25,hipoteca
129,Jane Smith,10000,25,prestamo
118,John Doe,12000,,hipoteca
142,Jane Smith,8000,100,hipoteca
114,Diana Prince,5000,25,-1
104,Jane Smith,,25,unknown
130,Steve Rogers,,35,-1
139,Alice Brown,12000,35,unknown
150,Bob Johnson,10000,35,hipoteca
120,Jane Smith,,40,ahorro
119,Unknown,5000,,ahorro
128,Alice Brown,5000,40,-1
146,Charlie Green,7000,40,ahorro
125,John Doe,,40,ahorro
108,Alice Brown,8000,35,hipoteca
140,Diana Prince,7000,150,-1
150,Steve Rogers,7000,30,hipoteca
138,Unknown,8000,,prestamo
113,Diana Prince,8000,40,-1
115,Bob Johnson,8000,45,hipoteca
139,Jane Smith,,30,-1
147,John Doe,8000,40,unknown
109,John Doe,,30,ahorro
106,Bob Johnson,7000,100,-1
140,Bob Johnson,,150,ahorro
137,Diana Prince,8000,,-1
133,Steve Rogers,10000,25,prestamo
127,John Doe,8000,150,prestamo
116,Bob Johnson,12000,,prestamo
107,Jane Smith,,,hipoteca
117,John Doe,,100,ahorro
118,John Doe,,100,hipoteca
129,Alice Brown,5000,,ahorro
135,Unknown,10000,45,ahorro
116,Charlie Green,12000,,ahorro
107,Diana Prince,10000,,-1
105,Alice Brown,5000,45,-1
120,Jane Smith,7000,45,hipoteca
149,John Doe,10000,25,ahorro
137,Steve Rogers,7000,35,-1
138,John Doe,7000,100,ahorro
142,Bob Johnson,8000,35,-1
136,Alice Brown,,45,-1
104,Diana Prince,8000,30,-1
138,Charlie Green,7000,,hipoteca
123,Bob Johnson,12000,40,hipoteca
144,Alice Brown,10000,45,ahorro
149,Alice Brown,10000,,prestamo
148,Bob Johnson,7000,30,ahorro
109,Diana Prince,,30,ahorro
116,Diana Prince,5000,45,-1
119,John Doe,8000,100,hipoteca
139,John Doe,10000,35,ahorro
107,Steve Rogers,10000,25,prestamo
113,John Doe,8000,45,prestamo
114,Alice Brown,5000,,ahorro
127,Alice Brown,,,-1
116,John Doe,10000,,-1
142,Bob Johnson,7000,25,ahorro
135,John Doe,12000,40,prestamo
125,Diana Prince,5000,45,unknown
106,Charlie Green,8000,25,prestamo
121,Alice Brown,8000,45,ahorro
138,John Doe,10000,30,unknown
150,Charlie Green,12000,40,prestamo
140,Jane Smith,7000,25,prestamo
148,Diana Prince,10000,25,prestamo
148,Steve Rogers,,,prestamo
141,Bob Johnson,10000,100,ahorro
105,John Doe,,35,ahorro
105,Diana Prince,,100,prestamo
103,Unknown,7000,40,-1
148,Steve Rogers,5000,150,-1
109,Diana Prince,7000,25,-1
111,Alice Brown,5000,45,prestamo
113,Bob Johnson,5000,35,prestamo
142,Jane Smith,10000,25,prestamo
148,Steve Rogers,7000,,ahorro
144,Jane Smith,7000,25,-1
103,Bob Johnson,,100,-1
114,Alice Brown,8000,150,prestamo
129,Steve Rogers,5000,,prestamo
123,Steve Rogers,12000,,hipoteca
107,Jane Smith,10000,,prestamo
134,Steve Rogers,,35,-1
113,Diana Prince,10000,,hipoteca
116,Steve Rogers,7000,40,hipoteca
127,Diana Prince,5000,100,ahorro
125,Diana Prince,,,prestamo
129,Unknown,10000,35,prestamo
105,Jane Smith,12000,45,hipoteca
114,Alice Brown,7000,35,ahorro
145,Diana Prince,7000,45,prestamo
106,Bob Johnson,5000,35,-1
121,John Doe,12000,45,hipoteca
134,Steve Rogers,8000,,hipoteca
131,Bob Johnson,10000,,prestamo
131,John Doe,10000,100,unknown
129,Alice Brown,,30,prestamo
111,Steve Rogers,10000,30,ahorro
139,Jane Smith,8000,45,hipoteca
125,Jane Smith,5000,,ahorro
124,Diana Prince,10000,45,unknown
119,Unknown,5000,40,prestamo
144,John Doe,,25,hipoteca
146,Bob Johnson,5000,40,hipoteca
114,Alice Brown,7000,25,-1
113,Bob Johnson,12000,,hipoteca
127,Charlie Green,7000,150,-1
124,John Doe,12000,,-1
139,Jane Smith,10000,,hipoteca
108,Steve Rogers,5000,30,-1
136,John Doe,8000,35,-1
129,Steve Rogers,10000,45,hipoteca
123,John Doe,7000,40,unknown
103,John Doe,7000,150,ahorro
140,Bob Johnson,,40,unknown
129,John Doe,,40,prestamo
102,Charlie Green,10000,35,prestamo
142,Charlie Green,12000,,hipoteca
110,Bob Johnson,5000,45,-1
149,Bob Johnson,8000,25,hipoteca
142,Alice Brown,12000,,-1
130,Unknown,12000,100,ahorro
111,Steve Rogers,,,-1
107,John Doe,,35,-1
144,John Doe,10000,,unknown
142,Alice Brown,10000,25,ahorro
111,John Doe,,45,prestamo
105,Alice Brown,10000,25,prestamo
125,Alice Brown,10000,100,ahorro
125,Diana Prince,5000,35,prestamo
122,Charlie Green,8000,25,-1
137,Diana Prince,,100,prestamo
123,John Doe,7000,25,prestamo
138,Steve Rogers,,40,prestamo
137,Alice Brown,7000,40,ahorro
